pullover_type,day_of_week,hour,adjusted_point,desired_point,curb_geo,polygon_type
Pickup,5,21,POINT(-122.426240775333 37.7763211770386),POINT(-122.425911639873 37.7766128848952),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,1,20,POINT(-122.424261972162 37.776248177885),POINT(-122.424570460526 37.776562015048),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,18,POINT(-122.426457490898 37.7764721777419),POINT(-122.426207766783 37.7762587038704),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,6,12,POINT(-122.423001999489 37.7767477208701),POINT(-122.423836913461 37.7768779927951),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,20,POINT(-122.423864133169 37.7767650064983),POINT(-122.423898006574 37.7768225624617),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,6,16,POINT(-122.423001999489 37.7767477208701),POINT(-122.422570281898 37.7770844905576),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,19,POINT(-122.424973567904 37.7766673974795),POINT(-122.424998713458 37.7767812888855),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,23,POINT(-122.424655057037 37.7768302824437),POINT(-122.424183596963 37.7767449763942),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,19,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,5,22,POINT(-122.424655057037 37.7768302824437),POINT(-122.424682708588 37.77652836352),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,5,21,POINT(-122.424146440012 37.7767715986847),POINT(-122.424380787816 37.7767797817314),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,20,POINT(-122.423209475626 37.776820223827),POINT(-122.423095497741 37.7766672030671),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,16,POINT(-122.424849741087 37.7766378002019),POINT(-122.424737579614 37.7763838266664),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,1,12,POINT(-122.422733688425 37.7764490718287),POINT(-122.422481190236 37.7769437350928),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,6,8,POINT(-122.427006190587 37.776403434745),POINT(-122.427033495882 37.7765090266306),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,1,11,POINT(-122.425795504668 37.7765572237663),POINT(-122.425804664146 37.7766076946719),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,22,POINT(-122.424655057037 37.7768302824437),POINT(-122.423885131225 37.7768843184851),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,6,12,POINT(-122.423209475626 37.776820223827),POINT(-122.42265894142 37.7768495198107),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,6,12,POINT(-122.423209475626 37.776820223827),POINT(-122.42265894142 37.7768495198107),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,23,POINT(-122.424655057037 37.7768302824437),POINT(-122.424476099476 37.7765621030066),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,21,POINT(-122.421163385249 37.7770887404333),POINT(-122.421642463284 37.7770675443239),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,6,11,POINT(-122.424655057037 37.7768302824437),POINT(-122.424813707715 37.7766895218584),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,5,19,POINT(-122.423209475626 37.776820223827),POINT(-122.42314682669 37.7766466913174),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,3,11,POINT(-122.425113207741 37.7766043103469),POINT(-122.425004762216 37.7765238183986),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,4,10,POINT(-122.42332198438 37.7768290232458),POINT(-122.423206883257 37.7765015045614),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,7,13,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,1,1,POINT(-122.424655057037 37.7768302824437),POINT(-122.424405760689 37.7767617049268),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,1,0,POINT(-122.423001999489 37.7767477208701),POINT(-122.423562469278 37.7766347428177),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,0,POINT(-122.422998629403 37.7767313820286),POINT(-122.423028787352 37.7770312268856),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,11,POINT(-122.424655057037 37.7768302824437),POINT(-122.424249960972 37.7767220207514),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,12,POINT(-122.423209475626 37.776820223827),POINT(-122.422926561375 37.7768593976841),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,4,12,POINT(-122.423209475626 37.776820223827),POINT(-122.422926561375 37.7768593976841),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,21,POINT(-122.424387700723 37.7766938332243),POINT(-122.424364024016 37.7767581843553),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
